Kontonummer;Kontobezeichnung;Saldo
424;KRAFTFAHRZEUGE;51153
351315;BETRIEBSVORRICHTUNG;21
1531;WOHNGRUNDSTÜCKE;6464
313;FABRIKGRUNDSTÜCKE;63531
5;GESCHÄFTSGRUNDSTÜCKE;0
155;UNBEBAUTE GRUNDSTÜCKE;513
105;BETRIEBSAUSSTATTUNG;8646
15341351;GESCHÄFTSAUSSTATTUNG;-64
31;KASSE;-61351
54;FORDERUNGEN;5
688;KONTO;65
0031;STATISTISCHES KONTO FÜR XY;-129859
13;RÜCKSTELLUNGEN GEWERBESTEUER;-634
867;PACKMITTEL;-9910
15;MINERALWASSER;-4546
44;PATENTE;6486
1687;HILFS- UND BETRIEBSSTOFFE;46846
16;STROM;-354546
31648;UNBEKANNT;-564646
16387;STEUERHINTERZIEHUNG;5665433
23456;BEISPIELKONTO;-4723607